feature,median
arpu_7,191.421
arpu_8,191.374
onnet_mou_8,31.98
offnet_mou_7,92.235
offnet_mou_8,91.63
roam_ic_mou_7,0.0
roam_ic_mou_8,0.0
roam_og_mou_6,0.0
roam_og_mou_7,0.0
roam_og_mou_8,0.0
loc_og_t2t_mou_6,11.93
loc_og_t2t_mou_7,11.645
loc_og_t2t_mou_8,11.76
loc_og_t2m_mou_6,41.06
loc_og_t2m_mou_7,40.29
loc_og_t2m_mou_8,40.33
loc_og_t2f_mou_6,0.0
loc_og_t2f_mou_7,0.0
loc_og_t2f_mou_8,0.0
loc_og_t2c_mou_8,0.0
loc_og_mou_6,65.41
loc_og_mou_7,63.52
loc_og_mou_8,63.41
std_og_t2t_mou_6,0.0
std_og_t2t_mou_8,0.0
std_og_t2m_mou_6,3.96
std_og_t2m_mou_8,3.28
std_og_mou_6,11.64
std_og_mou_8,10.41
spl_og_mou_7,0.0
spl_og_mou_8,0.0
total_og_mou_7,141.31
total_og_mou_8,137.23
loc_ic_t2t_mou_6,15.68
loc_ic_t2t_mou_7,15.63
loc_ic_t2t_mou_8,16.04
loc_ic_t2m_mou_6,56.31
loc_ic_t2m_mou_7,56.68
loc_ic_t2m_mou_8,58.135000000000005
loc_ic_t2f_mou_6,0.88
loc_ic_t2f_mou_7,0.905
loc_ic_t2f_mou_8,0.91
loc_ic_mou_6,92.19
loc_ic_mou_7,92.025
loc_ic_mou_8,93.72
std_ic_t2t_mou_8,0.0
std_ic_t2m_mou_8,2.0
std_ic_t2f_mou_6,0.0
std_ic_t2f_mou_7,0.0
std_ic_t2f_mou_8,0.0
std_ic_mou_8,5.73
total_ic_mou_6,114.14
total_ic_mou_7,115.66
total_ic_mou_8,114.23
spl_ic_mou_8,0.0
isd_ic_mou_8,0.0
ic_others_8,0.0
total_rech_num_7,6.0
total_rech_num_8,5.0
total_rech_amt_7,220.0
total_rech_amt_8,224.0
max_rech_amt_7,110.0
max_rech_amt_8,98.0
last_day_rch_amt_7,30.0
last_day_rch_amt_8,30.0
total_rech_data_8,1.0
vol_2g_mb_8,0.0
vol_3g_mb_8,0.0
sachet_2g_8,0.0
aon,869.0
aug_vbc_3g,0.0
voice_rech_recency_7,4.0
voice_rech_recency_8,4.0
total_rech_data_8_missing,1.0
spl_og_mou_8_missing,0.0
arpu_avg_6_8,199.59466666666663
arpu_min_6_8,108.267
arpu_std_6_8,63.117765502273606
arpu_change_6_to_8,-1.5900000000000034
arpu_pct_change_6_to_8,-0.0404276216856269
arpu_change_7_to_8,0.0
arpu_pct_change_7_to_8,-0.0147663861630591
recharge_amount_min_6_8,110.0
recharge_amount_std_6_8,85.24474568362947
recharge_count_min_6_8,3.0
recharge_count_std_6_8,1.699673171197595
recharge_amt_change_6_to_8,0.0
recharge_amt_pct_change_6_to_8,-0.0728376394857375
recharge_amt_change_7_to_8,0.0
recharge_amt_pct_change_7_to_8,-0.0188679245283018
recharge_num_change_6_to_8,0.0
recharge_num_pct_change_6_to_8,-0.0769230769230769
total_og_mou_min_6_8,65.76
total_og_mou_std_6_8,52.045400906857815
total_og_mou_change_6_to_8,0.0
total_og_mou_pct_change_6_to_8,-0.0864115286649873
total_og_mou_change_7_to_8,0.0
total_og_mou_pct_change_7_to_8,-0.0489124079055081
total_ic_mou_min_6_8,67.53
total_ic_mou_max_6_8,172.41
total_ic_mou_change_6_to_8,0.0
total_ic_mou_pct_change_6_to_8,-0.048973712639539
total_ic_mou_change_7_to_8,0.0
total_ic_mou_pct_change_7_to_8,-0.0375458633341609
loc_og_mou_min_6_8,31.91
loc_og_mou_max_6_8,100.48
loc_og_mou_std_6_8,22.21430320011561
loc_og_mou_change_6_to_8,0.0
loc_og_mou_pct_change_6_to_8,-0.0605449195457992
loc_og_mou_change_7_to_8,0.0
loc_og_mou_pct_change_7_to_8,-0.0402439134340378
std_og_mou_change_6_to_8,0.0
std_og_mou_pct_change_6_to_8,-0.2537938142143711
std_og_mou_change_7_to_8,0.0
std_og_mou_pct_change_7_to_8,-0.1613632142636042
roam_og_mou_min_6_8,0.0
roam_og_mou_std_6_8,0.0
roam_og_mou_change_6_to_8,0.0
roam_og_mou_pct_change_7_to_8,-0.9529758446086162
loc_ic_mou_min_6_8,54.66
loc_ic_mou_max_6_8,132.19
loc_ic_mou_std_6_8,25.936039704541543
loc_ic_mou_change_6_to_8,0.2849999999999966
loc_ic_mou_pct_change_6_to_8,-0.0202172391152158
loc_ic_mou_change_7_to_8,0.0
loc_ic_mou_pct_change_7_to_8,-0.0193620140538901
std_ic_mou_min_6_8,0.75
std_ic_mou_std_6_8,5.04109996815069
std_ic_mou_change_6_to_8,0.0
std_ic_mou_pct_change_6_to_8,-0.2764112131492341
std_ic_mou_change_7_to_8,0.0
std_ic_mou_pct_change_7_to_8,-0.2321986318923232
roam_ic_mou_min_6_8,0.0
roam_ic_mou_std_6_8,0.0
roam_ic_mou_change_6_to_8,0.0
roam_ic_mou_pct_change_7_to_8,-0.909148316833672
vol_2g_mb_min_6_8,0.0
vol_2g_mb_change_6_to_8,0.0
vol_2g_mb_pct_change_6_to_8,-0.588925372814451
av_rech_amt_data_std_6_8,8.013876853447538
total_voice_mou_6,320.67
total_voice_mou_7,320.12
total_voice_mou_8,313.88
total_activity_6,421.26
total_activity_7,427.87
total_activity_8,420.19000000000005
total_activity_change_6_to_8,0.0
total_activity_pct_change_6_to_8,-0.0448224994108044
total_activity_change_7_to_8,0.0
total_activity_pct_change_7_to_8,-0.0296725950017562
voice_inactive_6,0.0
voice_inactive_7,0.0
voice_inactive_8,0.0
arpu_recent_vs_baseline,-4.063000000000002
arpu_recent_vs_baseline_pct,-0.0217669547177072
recharge_amount_recent_vs_baseline,-3.0
recharge_amount_recent_vs_baseline_pct,-0.0149253731343284
recharge_count_recent_vs_baseline,-0.3333333333333335
recharge_count_recent_vs_baseline_pct,-0.0769230769230768
recharge_value_per_transaction_8,36.42857142857143
no_recharge_amt_7,0.0
no_recharge_amt_8,0.0
no_recharge_count_8,0.0
behavioral_decline_count,2.0
arpu_trend_score,0.0
recharge_amount_trend_score,0.0
recharge_count_trend_score,0.0
total_activity_trend_score,0.0
voice_rech_recency_8_high_flag,0.0
