feature_name,feature_family,source_features,transformation,status,leakage_class
tenure_years,Customer Tenure,aon,aon / 365.25,Candidate,Approved
tenure_band,Customer Tenure,aon,Business tenure band derived from age on network,Candidate,Approved
arpu_avg_6_8,Multi-Month Summary,"arpu_6, arpu_7, arpu_8",Row-wise mean across available June-August values,Candidate,Approved
arpu_min_6_8,Multi-Month Summary,"arpu_6, arpu_7, arpu_8",Row-wise minimum across available June-August values,Candidate,Approved
arpu_max_6_8,Multi-Month Summary,"arpu_6, arpu_7, arpu_8",Row-wise maximum across available June-August values,Candidate,Approved
arpu_std_6_8,Behavior Stability,"arpu_6, arpu_7, arpu_8",Population standard deviation across June-August,Candidate,Approved
arpu_change_6_to_8,Temporal Change,"arpu_6, arpu_8",arpu_8 - arpu_6,Candidate,Approved
arpu_pct_change_6_to_8,Temporal Percentage Change,"arpu_6, arpu_8",(arpu_8 - arpu_6) / abs(arpu_6),Candidate,Approved
arpu_change_7_to_8,Temporal Change,"arpu_7, arpu_8",arpu_8 - arpu_7,Candidate,Approved
arpu_pct_change_7_to_8,Temporal Percentage Change,"arpu_7, arpu_8",(arpu_8 - arpu_7) / abs(arpu_7),Candidate,Approved
recharge_amount_avg_6_8,Multi-Month Summary,"total_rech_amt_6, total_rech_amt_7, total_rech_amt_8",Row-wise mean across available June-August values,Candidate,Approved
recharge_amount_min_6_8,Multi-Month Summary,"total_rech_amt_6, total_rech_amt_7, total_rech_amt_8",Row-wise minimum across available June-August values,Candidate,Approved
recharge_amount_max_6_8,Multi-Month Summary,"total_rech_amt_6, total_rech_amt_7, total_rech_amt_8",Row-wise maximum across available June-August values,Candidate,Approved
recharge_amount_std_6_8,Behavior Stability,"total_rech_amt_6, total_rech_amt_7, total_rech_amt_8",Population standard deviation across June-August,Candidate,Approved
recharge_count_avg_6_8,Multi-Month Summary,"total_rech_num_6, total_rech_num_7, total_rech_num_8",Row-wise mean across available June-August values,Candidate,Approved
recharge_count_min_6_8,Multi-Month Summary,"total_rech_num_6, total_rech_num_7, total_rech_num_8",Row-wise minimum across available June-August values,Candidate,Approved
recharge_count_max_6_8,Multi-Month Summary,"total_rech_num_6, total_rech_num_7, total_rech_num_8",Row-wise maximum across available June-August values,Candidate,Approved
recharge_count_std_6_8,Behavior Stability,"total_rech_num_6, total_rech_num_7, total_rech_num_8",Population standard deviation across June-August,Candidate,Approved
recharge_amt_change_6_to_8,Temporal Change,"total_rech_amt_6, total_rech_amt_8",total_rech_amt_8 - total_rech_amt_6,Candidate,Approved
recharge_amt_pct_change_6_to_8,Temporal Percentage Change,"total_rech_amt_6, total_rech_amt_8",(total_rech_amt_8 - total_rech_amt_6) / abs(total_rech_amt_6),Candidate,Approved
recharge_amt_change_7_to_8,Temporal Change,"total_rech_amt_7, total_rech_amt_8",total_rech_amt_8 - total_rech_amt_7,Candidate,Approved
recharge_amt_pct_change_7_to_8,Temporal Percentage Change,"total_rech_amt_7, total_rech_amt_8",(total_rech_amt_8 - total_rech_amt_7) / abs(total_rech_amt_7),Candidate,Approved
