group_id,feature,decision,representative,reason
1,roam_ic_mou_8,Retain,roam_ic_mou_8,Preferred representative of highly correlated group
1,roam_ic_mou_pct_change_6_to_8,Exclude,roam_ic_mou_8,Highly correlated redundant feature
2,roam_og_mou_8,Retain,roam_og_mou_8,Preferred representative of highly correlated group
2,roam_og_mou_pct_change_6_to_8,Exclude,roam_og_mou_8,Highly correlated redundant feature
3,vol_2g_mb_6,Retain,vol_2g_mb_6,Preferred representative of highly correlated group
3,total_rech_data_6_missing,Exclude,vol_2g_mb_6,Highly correlated redundant feature
3,total_data_volume_6,Exclude,vol_2g_mb_6,Highly correlated redundant feature
3,night_pck_user_6_missing,Exclude,vol_2g_mb_6,Highly correlated redundant feature
3,fb_user_6_missing,Exclude,vol_2g_mb_6,Highly correlated redundant feature
3,date_of_last_rech_data_6_missing,Exclude,vol_2g_mb_6,Highly correlated redundant feature
3,data_inactive_6,Exclude,vol_2g_mb_6,Highly correlated redundant feature
3,count_rech_3g_6_missing,Exclude,vol_2g_mb_6,Highly correlated redundant feature
3,count_rech_2g_6_missing,Exclude,vol_2g_mb_6,Highly correlated redundant feature
3,av_rech_amt_data_6_missing,Exclude,vol_2g_mb_6,Highly correlated redundant feature
3,max_rech_data_6_missing,Exclude,vol_2g_mb_6,Highly correlated redundant feature
4,vol_2g_mb_7,Retain,vol_2g_mb_7,Preferred representative of highly correlated group
4,total_rech_data_7_missing,Exclude,vol_2g_mb_7,Highly correlated redundant feature
4,total_data_volume_7,Exclude,vol_2g_mb_7,Highly correlated redundant feature
4,night_pck_user_7_missing,Exclude,vol_2g_mb_7,Highly correlated redundant feature
4,fb_user_7_missing,Exclude,vol_2g_mb_7,Highly correlated redundant feature
4,date_of_last_rech_data_7_missing,Exclude,vol_2g_mb_7,Highly correlated redundant feature
4,data_inactive_7,Exclude,vol_2g_mb_7,Highly correlated redundant feature
4,count_rech_3g_7_missing,Exclude,vol_2g_mb_7,Highly correlated redundant feature
