feature,status,reason,selection_stage,correlation_group,missing_pct_dev,mutual_information,mi_rank,mean_cv_auc,cv_auc_std,stable_folds,stability_rate,permutation_importance_mean,permutation_importance_std,feature_family
overall_inactive_8,Excluded,Redundant with preferred feature: voice_inactive_8,Correlation redundancy,34.0,0.0,,,,,,,,,Activity Signal
tenure_band,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,,,,,,,,,Customer Tenure
tenure_years,Excluded,Redundant with preferred feature: aon,Correlation redundancy,6.0,0.0,,,,,,,,,Customer Tenure
arpu_2g_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.97455311701995,0.0005620769016714267,284.0,0.5064098331901477,0.004087801042869595,0.0,0.0,,,Customer Value
arpu_2g_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.50847336559582,0.0036248480571199337,232.0,0.5066100776575456,0.004211898812039731,0.0,0.0,,,Customer Value
arpu_2g_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,73.76203146484758,0.013355230491475023,147.0,0.5042812980464785,0.0012887000677758182,0.0,0.0,,,Customer Value
arpu_3g_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.97455311701995,0.002396017919660931,247.0,0.5039568468685293,0.00274889132584178,0.0,0.0,,,Customer Value
arpu_3g_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.50847336559582,0.002331598454445194,248.0,0.501998647217046,0.0016452577387126752,0.0,0.0,,,Customer Value
arpu_3g_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,73.76203146484758,0.0135893455072007,140.0,0.5036461432585678,0.002511360229523885,0.0,0.0,,,Customer Value
arpu_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.0065386940619935885,202.0,0.5141925593506074,0.0072958619049196954,0.0,0.0,,,Customer Value
arpu_max_6_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,13.0,0.0,0.005468810193059559,214.0,0.5057390238535235,0.004179291667173166,0.0,0.0,,,Customer Value
