feature_1,feature_2,abs_spearman_correlation
date_of_last_rech_data_6_missing,fb_user_6_missing,1.0
date_of_last_rech_data_6_missing,max_rech_data_6_missing,1.0
date_of_last_rech_data_6_missing,night_pck_user_6_missing,1.0
date_of_last_rech_data_6_missing,total_rech_data_6_missing,1.0
date_of_last_rech_data_7_missing,fb_user_7_missing,1.0
date_of_last_rech_data_7_missing,max_rech_data_7_missing,1.0
date_of_last_rech_data_7_missing,night_pck_user_7_missing,1.0
date_of_last_rech_data_7_missing,total_rech_data_7_missing,1.0
date_of_last_rech_data_8_missing,fb_user_8_missing,1.0
date_of_last_rech_data_8_missing,max_rech_data_8_missing,1.0
date_of_last_rech_data_8_missing,night_pck_user_8_missing,1.0
date_of_last_rech_data_8_missing,total_rech_data_8_missing,1.0
av_rech_amt_data_6_missing,date_of_last_rech_data_6_missing,1.0
av_rech_amt_data_6_missing,count_rech_2g_6_missing,1.0
av_rech_amt_data_6_missing,count_rech_3g_6_missing,1.0
av_rech_amt_data_6_missing,fb_user_6_missing,1.0
av_rech_amt_data_6_missing,max_rech_data_6_missing,1.0
av_rech_amt_data_6_missing,night_pck_user_6_missing,1.0
av_rech_amt_data_6_missing,total_rech_data_6_missing,1.0
av_rech_amt_data_7_missing,date_of_last_rech_data_7_missing,1.0
av_rech_amt_data_7_missing,count_rech_2g_7_missing,1.0
av_rech_amt_data_7_missing,count_rech_3g_7_missing,1.0
av_rech_amt_data_7_missing,fb_user_7_missing,1.0
av_rech_amt_data_7_missing,max_rech_data_7_missing,1.0
av_rech_amt_data_7_missing,night_pck_user_7_missing,1.0
av_rech_amt_data_7_missing,total_rech_data_7_missing,1.0
av_rech_amt_data_8_missing,date_of_last_rech_data_8_missing,1.0
av_rech_amt_data_8_missing,count_rech_2g_8_missing,1.0
av_rech_amt_data_8_missing,count_rech_3g_8_missing,1.0
av_rech_amt_data_8_missing,fb_user_8_missing,1.0
av_rech_amt_data_8_missing,max_rech_data_8_missing,1.0
av_rech_amt_data_8_missing,night_pck_user_8_missing,1.0
av_rech_amt_data_8_missing,total_rech_data_8_missing,1.0
count_rech_2g_6_missing,date_of_last_rech_data_6_missing,1.0
count_rech_2g_6_missing,count_rech_3g_6_missing,1.0
count_rech_2g_6_missing,fb_user_6_missing,1.0
count_rech_2g_6_missing,max_rech_data_6_missing,1.0
count_rech_2g_6_missing,night_pck_user_6_missing,1.0
count_rech_2g_6_missing,total_rech_data_6_missing,1.0
count_rech_2g_7_missing,date_of_last_rech_data_7_missing,1.0
count_rech_2g_7_missing,count_rech_3g_7_missing,1.0
count_rech_2g_7_missing,fb_user_7_missing,1.0
count_rech_2g_7_missing,max_rech_data_7_missing,1.0
count_rech_2g_7_missing,night_pck_user_7_missing,1.0
count_rech_2g_7_missing,total_rech_data_7_missing,1.0
count_rech_2g_8_missing,date_of_last_rech_data_8_missing,1.0
count_rech_2g_8_missing,count_rech_3g_8_missing,1.0
count_rech_2g_8_missing,fb_user_8_missing,1.0
count_rech_2g_8_missing,max_rech_data_8_missing,1.0
count_rech_2g_8_missing,night_pck_user_8_missing,1.0
count_rech_2g_8_missing,total_rech_data_8_missing,1.0
count_rech_3g_6_missing,date_of_last_rech_data_6_missing,1.0
count_rech_3g_6_missing,fb_user_6_missing,1.0
count_rech_3g_6_missing,max_rech_data_6_missing,1.0
count_rech_3g_6_missing,night_pck_user_6_missing,1.0
count_rech_3g_6_missing,total_rech_data_6_missing,1.0
count_rech_3g_7_missing,date_of_last_rech_data_7_missing,1.0
count_rech_3g_7_missing,fb_user_7_missing,1.0
count_rech_3g_7_missing,max_rech_data_7_missing,1.0
count_rech_3g_7_missing,night_pck_user_7_missing,1.0
count_rech_3g_7_missing,total_rech_data_7_missing,1.0
count_rech_3g_8_missing,date_of_last_rech_data_8_missing,1.0
count_rech_3g_8_missing,fb_user_8_missing,1.0
count_rech_3g_8_missing,max_rech_data_8_missing,1.0
count_rech_3g_8_missing,night_pck_user_8_missing,1.0
count_rech_3g_8_missing,total_rech_data_8_missing,1.0
fb_user_6_missing,max_rech_data_6_missing,1.0
fb_user_6_missing,night_pck_user_6_missing,1.0
fb_user_6_missing,total_rech_data_6_missing,1.0
fb_user_7_missing,max_rech_data_7_missing,1.0
fb_user_7_missing,night_pck_user_7_missing,1.0
fb_user_7_missing,total_rech_data_7_missing,1.0
fb_user_8_missing,max_rech_data_8_missing,1.0
fb_user_8_missing,night_pck_user_8_missing,1.0
fb_user_8_missing,total_rech_data_8_missing,1.0
max_rech_data_6_missing,night_pck_user_6_missing,1.0
max_rech_data_6_missing,total_rech_data_6_missing,1.0
max_rech_data_7_missing,night_pck_user_7_missing,1.0
max_rech_data_7_missing,total_rech_data_7_missing,1.0
max_rech_data_8_missing,night_pck_user_8_missing,1.0
max_rech_data_8_missing,total_rech_data_8_missing,1.0
night_pck_user_6_missing,total_rech_data_6_missing,1.0
night_pck_user_7_missing,total_rech_data_7_missing,1.0
night_pck_user_8_missing,total_rech_data_8_missing,1.0
onnet_mou_8_missing,roam_ic_mou_8_missing,1.0
onnet_mou_8_missing,roam_og_mou_8_missing,1.0
onnet_mou_8_missing,std_og_t2t_mou_8_missing,1.0
onnet_mou_8_missing,std_og_t2m_mou_8_missing,1.0
onnet_mou_8_missing,std_og_t2f_mou_8_missing,1.0
onnet_mou_8_missing,std_og_t2c_mou_8_missing,1.0
onnet_mou_8_missing,std_og_mou_8_missing,1.0
onnet_mou_8_missing,spl_og_mou_8_missing,1.0
onnet_mou_8_missing,std_ic_t2t_mou_8_missing,1.0
onnet_mou_8_missing,std_ic_t2m_mou_8_missing,1.0
onnet_mou_8_missing,std_ic_t2f_mou_8_missing,1.0
onnet_mou_8_missing,std_ic_t2o_mou_8_missing,1.0
onnet_mou_8_missing,std_ic_mou_8_missing,1.0
onnet_mou_8_missing,spl_ic_mou_8_missing,1.0
offnet_mou_8_missing,onnet_mou_8_missing,1.0
offnet_mou_8_missing,roam_ic_mou_8_missing,1.0
offnet_mou_8_missing,roam_og_mou_8_missing,1.0
offnet_mou_8_missing,std_og_t2t_mou_8_missing,1.0
offnet_mou_8_missing,std_og_t2m_mou_8_missing,1.0
offnet_mou_8_missing,std_og_t2f_mou_8_missing,1.0
offnet_mou_8_missing,std_og_t2c_mou_8_missing,1.0
offnet_mou_8_missing,std_og_mou_8_missing,1.0
offnet_mou_8_missing,spl_og_mou_8_missing,1.0
offnet_mou_8_missing,std_ic_t2t_mou_8_missing,1.0
offnet_mou_8_missing,std_ic_t2m_mou_8_missing,1.0
offnet_mou_8_missing,std_ic_t2f_mou_8_missing,1.0
offnet_mou_8_missing,std_ic_t2o_mou_8_missing,1.0
offnet_mou_8_missing,std_ic_mou_8_missing,1.0
offnet_mou_8_missing,spl_ic_mou_8_missing,1.0
roam_ic_mou_8_missing,roam_og_mou_8_missing,1.0
