feature,mutual_information,mi_rank
total_activity_8,0.13499487441309688,1
loc_ic_mou_8,0.1327721708895877,2
total_ic_mou_8,0.13249493775771315,3
loc_ic_t2m_mou_8,0.13206463162329962,4
total_voice_mou_8,0.1300875884504269,5
total_activity_pct_change_7_to_8,0.12636001713866474,6
total_activity_pct_change_6_to_8,0.1256724062875203,7
total_ic_mou_pct_change_7_to_8,0.11956435459448733,8
voice_inactive_8,0.1190644702120005,9
total_ic_mou_pct_change_6_to_8,0.11719483180432388,10
loc_og_mou_8,0.11656444616294648,11
loc_ic_t2t_mou_8,0.11631360875752494,12
loc_og_t2m_mou_8,0.11551483332842016,13
loc_ic_mou_pct_change_7_to_8,0.11453158659322726,14
loc_og_t2t_mou_8,0.10968123748958081,15
total_og_mou_8,0.10611823929816411,16
loc_ic_mou_change_7_to_8,0.1009906249303072,17
total_og_mou_pct_change_7_to_8,0.10041873849185334,18
total_og_mou_pct_change_6_to_8,0.09987547673603125,19
loc_ic_mou_pct_change_6_to_8,0.09957703491914205,20
arpu_recent_vs_baseline_pct,0.09866901141711515,21
loc_ic_t2f_mou_8,0.09736043277528639,22
offnet_mou_8,0.0956439007784442,23
total_ic_mou_min_6_8,0.09492646306050467,24
std_ic_mou_8,0.0934214134079745,25
arpu_pct_change_6_to_8,0.09337136108459854,26
loc_og_mou_pct_change_7_to_8,0.0904520569779168,27
std_ic_t2m_mou_8,0.08978116879959641,28
onnet_mou_8,0.08963669213400216,29
arpu_8,0.08903422653992821,30
arpu_pct_change_7_to_8,0.08885586805556289,31
std_og_mou_8,0.08826842904874965,32
loc_og_mou_change_7_to_8,0.08696680937887424,33
loc_ic_mou_change_6_to_8,0.08577666138921636,34
std_og_t2m_mou_8,0.08514980273639172,35
loc_og_mou_pct_change_6_to_8,0.08416589580214673,36
total_activity_change_7_to_8,0.08265216332836345,37
spl_og_mou_8_missing,0.0797544526077143,38
loc_og_mou_change_6_to_8,0.07826977737959595,39
recharge_amount_recent_vs_baseline_pct,0.07765913521422463,40
total_ic_mou_change_7_to_8,0.07732220492840591,41
total_og_mou_min_6_8,0.07637293390511202,42
total_og_mou_change_7_to_8,0.07505567457261053,43
recharge_amt_pct_change_6_to_8,0.07445356719403273,44
recharge_value_per_transaction_8,0.07405610832870835,45
max_rech_amt_8,0.07368552412281004,46
total_rech_amt_8,0.07311434696921926,47
arpu_to_recharge_ratio_8,0.0718791149133986,48
no_recharge_amt_8,0.06883746287850467,49
arpu_min_6_8,0.06846243692489073,50
recharge_amt_pct_change_7_to_8,0.06655173049553809,51
total_activity_change_6_to_8,0.061437016072539485,52
total_og_mou_change_6_to_8,0.05799807963447634,53
last_day_rch_amt_8,0.05671138824388278,54
total_ic_mou_change_6_to_8,0.05283453524645254,55
arpu_change_7_to_8,0.051566915174555916,56
loc_ic_mou_7,0.051419245432669625,57
recharge_amount_min_6_8,0.05129674190445144,58
loc_ic_t2m_mou_7,0.04958077510998771,59
recharge_num_pct_change_6_to_8,0.049343693856507054,60
std_ic_mou_change_7_to_8,0.04889054690818595,61
total_activity_trend_score,0.04883665809021687,62
recharge_count_recent_vs_baseline_pct,0.0481013670926278,63
loc_ic_mou_min_6_8,0.04756265934872306,64
total_ic_mou_7,0.04649276857436391,65
arpu_recent_vs_baseline,0.04554846367851639,66
std_ic_mou_change_6_to_8,0.04460637778843024,67
recharge_amt_change_7_to_8,0.044347218550101486,68
total_voice_mou_7,0.044066852213173524,69
loc_og_t2m_mou_7,0.04393784021142477,70
loc_og_mou_7,0.04359276770489173,71
arpu_change_6_to_8,0.04332686962848942,72
loc_ic_mou_std_6_8,0.04262174795562057,73
total_activity_7,0.0422794375739588,74
recharge_amt_change_6_to_8,0.04217887872837123,75
loc_ic_t2t_mou_7,0.04217261838060948,76
std_og_mou_change_6_to_8,0.04179262616769175,77
std_og_mou_change_7_to_8,0.04150443781697044,78
voice_inactive_7,0.040910751014553215,79
loc_ic_t2f_mou_7,0.04024155878551228,80
total_rech_num_8,0.03987594230995084,81
arpu_trend_score,0.03974934857571033,82
recharge_amount_recent_vs_baseline,0.03974515340571094,83
std_ic_mou_pct_change_7_to_8,0.03818760069218463,84
std_ic_mou_pct_change_6_to_8,0.03818147715091391,85
loc_ic_mou_max_6_8,0.0381570122045547,86
loc_og_t2t_mou_7,0.03720486245948962,87
recharge_amount_trend_score,0.03517956646438747,88
loc_og_mou_std_6_8,0.03486211113126547,89
loc_og_mou_min_6_8,0.0335284382777028,90
total_og_mou_7,0.0335197877492317,91
recharge_count_min_6_8,0.0333410934050411,92
total_ic_mou_max_6_8,0.03270740728112642,93
