feature,permutation_importance_mean,permutation_importance_std,importance_rank
voice_rech_recency_8,0.009988626159084645,0.00041433470413393425,1.0
roam_og_mou_8,0.004943889740195884,0.00037378719076189276,2.0
last_day_rch_amt_8,0.004777214993173895,0.00011246463963855995,3.0
spl_ic_mou_8,0.0035224070816395558,0.00041720619263122005,4.0
total_activity_pct_change_7_to_8,0.003194881209406852,0.00022652955008493284,5.0
total_activity_8,0.0026332764921578765,0.0003614574553382116,6.0
aon,0.0013873673822691669,9.56378234375934e-05,7.0
arpu_std_6_8,0.0012887790387671404,0.00016683454366843323,8.0
total_ic_mou_8,0.00115451860918665,0.0002075975692645279,9.0
arpu_change_7_to_8,0.0010660014796421314,8.862715003596253e-05,10.0
recharge_count_std_6_8,0.0010374503568675308,0.00021218925699549956,11.0
loc_og_t2c_mou_8,0.0009617048335726297,0.00010909675784966112,12.0
total_rech_num_8,0.0009271763299949276,3.733333001376584e-05,13.0
std_og_mou_pct_change_7_to_8,0.0007298747138102079,9.428604930696443e-05,14.0
last_day_rch_amt_7,0.0007185494030764961,2.2820482454294507e-05,15.0
std_ic_mou_std_6_8,0.0007103761516729978,8.755561531957699e-05,16.0
total_ic_mou_min_6_8,0.0006334486061291944,0.00014381997890760713,17.0
std_og_t2m_mou_8,0.0006033791133113642,6.564707975642513e-05,18.0
roam_og_mou_7,0.0005897906624183103,4.554275367269813e-05,19.0
loc_og_t2t_mou_8,0.0005549258110463917,7.629912334954853e-05,20.0
total_og_mou_std_6_8,0.0005492030935733804,4.4694344706982104e-05,21.0
loc_ic_mou_pct_change_7_to_8,0.0005382717902559176,5.205628087315329e-05,22.0
isd_ic_mou_8,0.0005271242633564599,5.3453753913153496e-05,23.0
std_ic_mou_min_6_8,0.0004786229114064122,4.8213495355444855e-05,24.0
total_activity_6,0.00047229957287209245,4.5208486183611035e-05,25.0
loc_og_t2m_mou_8,0.00047002201780723676,4.3966076095830604e-05,26.0
