feature,mean_cv_auc,cv_auc_std,stable_folds,stability_rate
total_activity_8,0.8635396859303149,0.005317550622940467,5,1.0
loc_ic_mou_8,0.7002466668412761,0.0034955401398169762,5,1.0
total_ic_mou_8,0.8807620406686547,0.0017498548014600978,5,1.0
loc_ic_t2m_mou_8,0.6976853477253921,0.0034805038042020936,5,1.0
total_voice_mou_8,0.859783235759442,0.0031149070792806004,5,1.0
total_activity_pct_change_7_to_8,0.7466387504638953,0.007440863288597299,5,1.0
total_activity_pct_change_6_to_8,0.8007731813988512,0.0038848502900348724,5,1.0
total_ic_mou_pct_change_7_to_8,0.7270256371911382,0.006234804611726344,5,1.0
voice_inactive_8,0.7999926509189714,0.0030802335335890084,5,1.0
total_ic_mou_pct_change_6_to_8,0.7825503092862589,0.005885147484148563,5,1.0
loc_og_mou_8,0.6802409230438756,0.004752814846234848,5,1.0
loc_ic_t2t_mou_8,0.6728987368931987,0.006631787603184347,5,1.0
loc_og_t2m_mou_8,0.6774471440752573,0.0051540624743141965,5,1.0
loc_ic_mou_pct_change_7_to_8,0.62497968512836,0.00806798213138907,5,1.0
loc_og_t2t_mou_8,0.6592058251952502,0.0031361547537640286,5,1.0
total_og_mou_8,0.8323223126504258,0.005089749960747898,5,1.0
loc_ic_mou_change_7_to_8,0.5826299389310602,0.007481047214817481,5,1.0
total_og_mou_pct_change_7_to_8,0.719552161894091,0.005438034060993429,5,1.0
total_og_mou_pct_change_6_to_8,0.7789442370274955,0.005292508280114863,5,1.0
loc_ic_mou_pct_change_6_to_8,0.6336318793458195,0.009886302097457037,5,1.0
arpu_recent_vs_baseline_pct,0.7963570369153274,0.008905408763486585,5,1.0
loc_ic_t2f_mou_8,0.6346962525998376,0.006207651213145955,5,1.0
offnet_mou_8,0.6182227963901905,0.008434814871133779,5,1.0
total_ic_mou_min_6_8,0.8548324861339595,0.002160710680831403,5,1.0
std_ic_mou_8,0.6053298678537316,0.007283247332156752,5,1.0
arpu_pct_change_6_to_8,0.7824410378854525,0.008776160643501327,5,1.0
loc_og_mou_pct_change_7_to_8,0.6133720217944407,0.009350078325383997,5,1.0
std_ic_t2m_mou_8,0.5903024843440086,0.006740769162895049,5,1.0
onnet_mou_8,0.5891185136219897,0.004778016873867945,5,1.0
arpu_8,0.7947390870325969,0.007078235105444389,5,1.0
arpu_pct_change_7_to_8,0.7281509317010315,0.008263449428309031,5,1.0
std_og_mou_8,0.5651005640854525,0.006667232567906383,5,1.0
loc_og_mou_change_7_to_8,0.5741376046197946,0.005122341836057282,5,1.0
loc_ic_mou_change_6_to_8,0.5912804862959564,0.009901717004050832,5,1.0
std_og_t2m_mou_8,0.5612861189977446,0.005466359812822454,5,1.0
loc_og_mou_pct_change_6_to_8,0.6280242683185658,0.004547105403974489,5,1.0
total_activity_change_7_to_8,0.6678169486607397,0.006254587946828227,5,1.0
spl_og_mou_8_missing,0.7034131736351691,0.003424555488059252,5,1.0
loc_og_mou_change_6_to_8,0.5801787116293821,0.004555952088092224,5,1.0
recharge_amount_recent_vs_baseline_pct,0.7795206096715372,0.006240973575172555,5,1.0
total_ic_mou_change_7_to_8,0.639038877433562,0.007705520330947298,5,1.0
total_og_mou_min_6_8,0.8088680445808322,0.006415261888963577,5,1.0
total_og_mou_change_7_to_8,0.6590538025160918,0.006776927394163773,5,1.0
recharge_amt_pct_change_6_to_8,0.7777944010199249,0.007834433102005179,5,1.0
recharge_value_per_transaction_8,0.7005904971671044,0.006848705309680822,5,1.0
max_rech_amt_8,0.775992263555046,0.006147230642051934,5,1.0
total_rech_amt_8,0.7944222431529933,0.006061804837720412,5,1.0
arpu_to_recharge_ratio_8,0.5278333260173984,0.00883639748190131,0,0.0
no_recharge_amt_8,0.7507057917946155,0.004936251368770679,5,1.0
arpu_min_6_8,0.7889176891053389,0.008162067688703237,5,1.0
recharge_amt_pct_change_7_to_8,0.7061230122692341,0.004221846019065126,5,1.0
total_activity_change_6_to_8,0.7225295992892589,0.007360153175986908,5,1.0
total_og_mou_change_6_to_8,0.7096658723623985,0.003867025100869704,5,1.0
