method,bin,bin_lower,bin_upper,sample_count,mean_predicted_probability,observed_churn_rate
uncalibrated,1,0.0,0.1,11647,0.01321967385855742,0.016484931742079507
uncalibrated,2,0.1,0.2,541,0.14268518663433252,0.18853974121996303
uncalibrated,3,0.2,0.30000000000000004,276,0.24530830396258313,0.2898550724637681
uncalibrated,4,0.30000000000000004,0.4,206,0.3491052164904122,0.33495145631067963
uncalibrated,5,0.4,0.5,176,0.44805231487209146,0.5454545454545454
uncalibrated,6,0.5,0.6000000000000001,179,0.5477100670670664,0.6424581005586593
uncalibrated,7,0.6000000000000001,0.7000000000000001,203,0.6530978870509293,0.645320197044335
uncalibrated,8,0.7000000000000001,0.8,233,0.7525486948664096,0.7081545064377682
uncalibrated,9,0.8,0.9,333,0.8513524467880661,0.8378378378378378
uncalibrated,10,0.9,1.0,206,0.942703659094653,0.9563106796116505
sigmoid,1,0.0,0.1,11546,0.014870631392024821,0.015589814654425774
sigmoid,2,0.1,0.2,578,0.142646733820346,0.16608996539792387
sigmoid,3,0.2,0.30000000000000004,307,0.24652316780422645,0.2899022801302932
sigmoid,4,0.30000000000000004,0.4,203,0.35015687754933555,0.3251231527093596
sigmoid,5,0.4,0.5,194,0.4490864408786992,0.5
sigmoid,6,0.5,0.6000000000000001,181,0.5507269493022205,0.6243093922651933
sigmoid,7,0.6000000000000001,0.7000000000000001,203,0.6534324557677705,0.6650246305418719
sigmoid,8,0.7000000000000001,0.8,246,0.7521903020762211,0.6991869918699187
sigmoid,9,0.8,0.9,340,0.8513822715842069,0.8382352941176471
sigmoid,10,0.9,1.0,202,0.9418058907351914,0.9554455445544554
