scenario,threshold,false_positive_cost,false_negative_cost,false_positives,false_negatives,total_hypothetical_cost
Conservative_1_to_1,0.05,1.0,1.0,8052.0,408.0,8460.0
Conservative_1_to_1,0.06,1.0,1.0,7146.0,471.0,7617.0
Conservative_1_to_1,0.07,1.0,1.0,6419.0,519.0,6938.0
Conservative_1_to_1,0.08,1.0,1.0,5830.0,572.0,6402.0
Conservative_1_to_1,0.09,1.0,1.0,5398.0,620.0,6018.0
Conservative_1_to_1,0.1,1.0,1.0,5005.0,673.0,5678.0
Conservative_1_to_1,0.11,1.0,1.0,4642.0,731.0,5373.0
Conservative_1_to_1,0.12,1.0,1.0,4327.0,780.0,5107.0
Conservative_1_to_1,0.13,1.0,1.0,4084.0,818.0,4902.0
Conservative_1_to_1,0.14,1.0,1.0,3880.0,849.0,4729.0
Conservative_1_to_1,0.15,1.0,1.0,3684.0,879.0,4563.0
Conservative_1_to_1,0.16,1.0,1.0,3492.0,908.0,4400.0
Conservative_1_to_1,0.17,1.0,1.0,3332.0,941.0,4273.0
Conservative_1_to_1,0.18,1.0,1.0,3207.0,985.0,4192.0
Conservative_1_to_1,0.19,1.0,1.0,3072.0,1023.0,4095.0
Conservative_1_to_1,0.2,1.0,1.0,2938.0,1042.0,3980.0
Conservative_1_to_1,0.21,1.0,1.0,2814.0,1086.0,3900.0
Conservative_1_to_1,0.22,1.0,1.0,2708.0,1125.0,3833.0
Conservative_1_to_1,0.23,1.0,1.0,2610.0,1167.0,3777.0
Conservative_1_to_1,0.24,1.0,1.0,2491.0,1194.0,3685.0
Conservative_1_to_1,0.25,1.0,1.0,2380.0,1214.0,3594.0
Conservative_1_to_1,0.26,1.0,1.0,2303.0,1245.0,3548.0
Conservative_1_to_1,0.27,1.0,1.0,2218.0,1279.0,3497.0
Conservative_1_to_1,0.28,1.0,1.0,2164.0,1302.0,3466.0
Conservative_1_to_1,0.29,1.0,1.0,2087.0,1321.0,3408.0
Conservative_1_to_1,0.3,1.0,1.0,2007.0,1353.0,3360.0
Conservative_1_to_1,0.31,1.0,1.0,1942.0,1378.0,3320.0
Conservative_1_to_1,0.32,1.0,1.0,1887.0,1401.0,3288.0
Conservative_1_to_1,0.33,1.0,1.0,1842.0,1435.0,3277.0
Conservative_1_to_1,0.34,1.0,1.0,1806.0,1472.0,3278.0
Conservative_1_to_1,0.35,1.0,1.0,1755.0,1497.0,3252.0
Conservative_1_to_1,0.36,1.0,1.0,1703.0,1532.0,3235.0
Conservative_1_to_1,0.37,1.0,1.0,1666.0,1555.0,3221.0
Conservative_1_to_1,0.38,1.0,1.0,1616.0,1590.0,3206.0
Conservative_1_to_1,0.39,1.0,1.0,1583.0,1622.0,3205.0
