feature,coefficient,absolute_coefficient,direction
spl_ic_mou_8,-0.7499688497132491,0.7499688497132491,Higher feature value associated with lower churn probability
total_ic_mou_min_6_8,-0.7275654031479152,0.7275654031479152,Higher feature value associated with lower churn probability
voice_inactive_8,0.5640075310852157,0.5640075310852157,Higher feature value associated with higher churn probability
total_rech_data_8,-0.5564511364346847,0.5564511364346847,Higher feature value associated with lower churn probability
total_rech_num_8,-0.5371784530468975,0.5371784530468975,Higher feature value associated with lower churn probability
loc_ic_mou_max_6_8,-0.5334693571981648,0.5334693571981648,Higher feature value associated with lower churn probability
recharge_count_min_6_8,0.4840939287677544,0.4840939287677544,Higher feature value associated with higher churn probability
sachet_2g_8,0.46355047819344747,0.46355047819344747,Higher feature value associated with higher churn probability
vol_2g_mb_pct_change_6_to_8,-0.3885353497474093,0.3885353497474093,Higher feature value associated with lower churn probability
last_day_rch_amt_8,-0.3500153445008366,0.3500153445008366,Higher feature value associated with lower churn probability
voice_rech_recency_8_high_flag,0.33721886577798965,0.33721886577798965,Higher feature value associated with higher churn probability
loc_og_mou_min_6_8,0.3350189930089107,0.3350189930089107,Higher feature value associated with higher churn probability
total_rech_data_8_missing,0.32828259379584945,0.32828259379584945,Higher feature value associated with higher churn probability
aon,-0.3232158371003283,0.3232158371003283,Higher feature value associated with lower churn probability
max_rech_amt_8,0.3145434612284194,0.3145434612284194,Higher feature value associated with higher churn probability
total_ic_mou_max_6_8,0.2904028378968456,0.2904028378968456,Higher feature value associated with higher churn probability
std_og_mou_pct_change_6_to_8,-0.28978227263623896,0.28978227263623896,Higher feature value associated with lower churn probability
no_recharge_count_8,0.27128552058792077,0.27128552058792077,Higher feature value associated with higher churn probability
loc_og_t2m_mou_8,-0.26224272934827336,0.26224272934827336,Higher feature value associated with lower churn probability
recharge_count_recent_vs_baseline_pct,0.2568464475806851,0.2568464475806851,Higher feature value associated with higher churn probability
loc_ic_t2f_mou_8,-0.24530339746565447,0.24530339746565447,Higher feature value associated with lower churn probability
recharge_count_std_6_8,0.24507452322942833,0.24507452322942833,Higher feature value associated with higher churn probability
loc_og_mou_std_6_8,0.24453516351785898,0.24453516351785898,Higher feature value associated with higher churn probability
std_ic_t2f_mou_8,-0.23734788396849787,0.23734788396849787,Higher feature value associated with lower churn probability
recharge_num_change_6_to_8,0.2348260044582991,0.2348260044582991,Higher feature value associated with higher churn probability
arpu_8,0.22238087779265028,0.22238087779265028,Higher feature value associated with higher churn probability
arpu_avg_6_8,0.22176848162746524,0.22176848162746524,Higher feature value associated with higher churn probability
voice_inactive_6,0.21513226266087757,0.21513226266087757,Higher feature value associated with higher churn probability
loc_og_mou_8,-0.2132124693666239,0.2132124693666239,Higher feature value associated with lower churn probability
recharge_amount_min_6_8,-0.17286688301955738,0.17286688301955738,Higher feature value associated with lower churn probability
loc_ic_t2t_mou_6,0.1718518392168394,0.1718518392168394,Higher feature value associated with higher churn probability
