fold,model,pr_auc,pr_auc_rank
1,XGBoost,0.7702649777293843,1
1,HistGradientBoosting,0.7702103127652881,2
1,Logistic Regression,0.6979733966368271,3
2,HistGradientBoosting,0.775353969325356,1
2,XGBoost,0.7750244015961194,2
2,Logistic Regression,0.6951603414734807,3
3,XGBoost,0.7751919292278552,1
3,HistGradientBoosting,0.7724181020441679,2
3,Logistic Regression,0.6900271012698945,3
4,XGBoost,0.7801203795871681,1
4,HistGradientBoosting,0.7781970843979281,2
4,Logistic Regression,0.7055969747137248,3
5,XGBoost,0.7594575422077162,1
5,HistGradientBoosting,0.7560738445444345,2
5,Logistic Regression,0.6907496614651971,3
