risk_level,customer_value_tier,customers,avg_churn_probability,avg_arpu,potential_monthly_revenue_exposure,annualized_scenario_exposure,exposure_share_pct
Below Primary Threshold,Lower Value,9801,0.023129854104731236,47.64810774410774,9310.87879254086,111730.54551049031,1.1995336161288244
Below Primary Threshold,Mid-Lower Value,15545,0.014975968200209031,136.6674944355098,31368.48269628095,376421.7923553714,4.041245764179484
Below Primary Threshold,Mid-Upper Value,15849,0.012657513416857969,270.32545113256356,53580.39148009264,642964.6977611118,6.902837227051309
Below Primary Threshold,Higher Value,16312,0.01143883698228301,674.4489988352134,130515.92569903612,1566191.1083884335,16.814550356040275
High,Lower Value,2708,0.25089293557726405,25.93838589364845,17158.17161586007,205898.05939032082,2.210511392439143
High,Mid-Lower Value,1409,0.22614319998937318,134.03169907735983,42453.86047139008,509446.3256566809,5.469390581120233
High,Mid-Upper Value,1282,0.23502806461846318,265.0147059282371,79426.07209917069,953112.8651900484,10.232572628520645
High,Higher Value,941,0.22006312174356418,705.608734325186,147901.53902961095,1774818.4683553316,19.054363384618096
Very High,Lower Value,4990,0.7881610228306238,7.735621442885771,26787.471883060294,321449.66259672353,3.4510676951974206
Very High,Mid-Lower Value,546,0.7029913272344755,130.8580183150183,50194.2029244055,602330.435092866,6.466589790735043
Very High,Mid-Upper Value,369,0.6818381396352637,261.5009837398374,65693.95239029452,788327.4286835341,8.463444324036828
Very High,Higher Value,247,0.6861889188331132,700.3318421052631,121817.29280056854,1461807.5136068224,15.693893239932704
