targeting_cohort,scenario_name,targeted_customers,targeting_population_pct,monthly_exposure_capture_pct,expected_revenue_retained_over_horizon_inr,total_intervention_cost_inr,expected_net_value_inr,net_value_per_targeted_customer_inr,roi_pct,break_even_retention_success_rate_pct,break_even_feasible,retention_success_above_break_even,intervention_cost_as_pct_of_annualized_exposure,economically_viable
Top 1% Exposure,Low-Touch Retention,700,1.0000142859183703,32.02166588677543,596531.5435228017,70000.0,526531.5435228017,752.1879193182882,752.1879193182881,2.3469002020116756,True,True,2.3469002020116756,True
Top 1% Exposure,Targeted Retention,700,1.0000142859183703,32.02166588677543,1043930.2011649028,175000.0,868930.2011649028,1241.328858807004,496.5315435228016,5.86725050502919,True,True,5.86725050502919,True
Top 1% Exposure,High-Touch Retention,700,1.0000142859183703,32.02166588677543,1491328.858807004,350000.0,1141328.858807004,1630.46979829572,326.09395965914405,11.73450101005838,True,True,11.73450101005838,True
Top 5% Exposure,Low-Touch Retention,3500,5.000071429591851,63.837925063340464,1189236.5658919255,350000.0,839236.5658919255,239.78187596912156,239.7818759691216,5.88612913592176,True,True,5.88612913592176,True
Top 5% Exposure,Targeted Retention,3500,5.000071429591851,63.837925063340464,2081163.9903108692,875000.0,1206163.9903108692,344.6182829459626,137.84731317838506,14.715322839804399,True,True,14.715322839804399,True
Top 5% Exposure,High-Touch Retention,3500,5.000071429591851,63.837925063340464,2973091.4147298136,1750000.0,1223091.4147298136,349.4546899228039,69.89093798456078,29.430645679608798,True,True,29.430645679608798,True
Top 10% Exposure,Low-Touch Retention,7000,10.000142859183702,77.60779648944043,1445755.4704662901,700000.0,745755.4704662901,106.53649578089859,106.53649578089859,9.683518607392626,True,True,9.683518607392626,True
Top 10% Exposure,Targeted Retention,7000,10.000142859183702,77.60779648944043,2530072.073316008,1750000.0,780072.0733160079,111.43886761657255,44.57554704662902,24.208796518481567,True,True,24.208796518481567,True
Top 10% Exposure,High-Touch Retention,7000,10.000142859183702,77.60779648944043,3614388.676165725,3500000.0,114388.6761657251,16.341239452246445,3.268247890449288,48.41759303696313,True,True,48.41759303696313,True
Top 20% Exposure,Low-Touch Retention,14000,20.000285718367405,88.19271398106613,1642941.875185749,1400000.0,242941.87518574903,17.35299108469636,17.35299108469636,17.04259926836082,True,True,17.04259926836082,True
Top 20% Exposure,Targeted Retention,14000,20.000285718367405,88.19271398106613,2875148.2815750604,3500000.0,-624851.7184249396,-44.6322656017814,-17.85290624071256,42.60649817090205,True,False,42.60649817090205,False
Top 20% Exposure,High-Touch Retention,14000,20.000285718367405,88.19271398106613,4107354.6879643723,7000000.0,-2892645.3120356277,-206.61752228825912,-41.32350445765182,85.2129963418041,True,False,85.2129963418041,False
High + Very High Risk,Low-Touch Retention,12492,17.845969228131832,71.04183303660012,1323438.1517144658,1249200.0,74238.15171446581,5.942855564718685,5.942855564718686,18.878101683583886,True,True,18.878101683583886,True
High + Very High Risk,Targeted Retention,12492,17.845969228131832,71.04183303660012,2316016.765500315,3123000.0,-806983.234499685,-64.60000276174232,-25.840001104696924,47.19525420895971,True,False,47.19525420895971,False
High + Very High Risk,High-Touch Retention,12492,17.845969228131832,71.04183303660012,3308595.3792861644,6246000.0,-2937404.6207138356,-235.1428610882033,-47.02857221764066,94.39050841791942,True,False,94.39050841791942,False
