targeting_cohort,robustness_class,scenario_count,viable_scenarios,best_roi,worst_roi
High + Very High,Conditionally viable,18,12,3.2377142225887474,-0.7881142888705627
High + Very High,Not viable within tested range,9,0,-0.15245715548225053,-0.8940571444352813
Top 1%,Robustly viable,18,18,33.087516772731526,0.7043758386365764
Top 1%,Conditionally viable,9,8,5.8175033545463055,-0.14781208068171184
Top 10%,Robustly viable,9,9,7.2614598312359435,0.032682478904492954
Top 10%,Conditionally viable,18,11,2.3045839324943773,-0.7934635042191015
Top 20%,Conditionally viable,18,12,3.6941196433878543,-0.7652940178306074
Top 20%,Not viable within tested range,9,0,-0.061176071322429124,-0.8826470089153037
Top 5%,Robustly viable,9,9,12.591275038764863,0.6989093798456079
Top 5%,Conditionally viable,18,15,4.436510015505945,-0.6602181240308785
