id,churn_probability,risk_level,primary_threshold,above_primary_threshold,actual_churn,positive_driver_1,positive_driver_1_shap,positive_driver_1_abs_shap,positive_driver_1_value,positive_driver_1_type,positive_driver_2,positive_driver_2_shap,positive_driver_2_abs_shap,positive_driver_2_value,positive_driver_2_type,positive_driver_3,positive_driver_3_shap,positive_driver_3_abs_shap,positive_driver_3_value,positive_driver_3_type,positive_driver_4,positive_driver_4_shap,positive_driver_4_abs_shap,positive_driver_4_value,positive_driver_4_type,positive_driver_5,positive_driver_5_shap,positive_driver_5_abs_shap,positive_driver_5_value,positive_driver_5_type,negative_driver_1,negative_driver_1_shap,negative_driver_1_abs_shap,negative_driver_1_value,negative_driver_1_type,negative_driver_2,negative_driver_2_shap,negative_driver_2_abs_shap,negative_driver_2_value,negative_driver_2_type,negative_driver_3,negative_driver_3_shap,negative_driver_3_abs_shap,negative_driver_3_value,negative_driver_3_type,negative_driver_4,negative_driver_4_shap,negative_driver_4_abs_shap,negative_driver_4_value,negative_driver_4_type,negative_driver_5,negative_driver_5_shap,negative_driver_5_abs_shap,negative_driver_5_value,negative_driver_5_type
19628,0.0029965696484815017,Below Primary Threshold,0.1,False,0,roam_og_mou_8,0.35697097,0.35697097,31.6,Risk-increasing contribution,roam_ic_mou_8,0.20461288,0.20461288,10.14,Risk-increasing contribution,roam_og_mou_change_6_to_8,0.0821363,0.0821363,31.6,Risk-increasing contribution,total_rech_num_8,0.068020135,0.068020135,11.0,Risk-increasing contribution,loc_og_mou_pct_change_7_to_8,0.06337792,0.06337792,1.0766045548654246,Risk-increasing contribution,voice_rech_recency_8,-1.0879817,1.0879817,0.0,Risk-reducing contribution,total_activity_8,-0.5291878,0.5291878,1173.4,Risk-reducing contribution,total_ic_mou_min_6_8,-0.3572113,0.3572113,455.08,Risk-reducing contribution,total_ic_mou_8,-0.30783778,0.30783778,529.81,Risk-reducing contribution,aon,-0.25208622,0.25208622,2058.0,Risk-reducing contribution
31312,0.033381033695683085,Below Primary Threshold,0.1,False,0,total_activity_pct_change_7_to_8,0.5377533,0.5377533,-0.4890424291688503,Risk-increasing contribution,std_ic_t2f_mou_6,0.118803926,0.118803926,14.66,Risk-increasing contribution,arpu_std_6_8,0.07544997,0.07544997,283.098469479359,Risk-increasing contribution,recharge_value_per_transaction_8,0.05728589,0.05728589,24.285714285714285,Risk-increasing contribution,recharge_count_std_6_8,0.054385033,0.054385033,5.734883511361751,Risk-increasing contribution,spl_ic_mou_8,-0.91817784,0.91817784,0.25,Risk-reducing contribution,total_activity_8,-0.42154905,0.42154905,477.73,Risk-reducing contribution,roam_og_mou_8,-0.21780366,0.21780366,0.0,Risk-reducing contribution,total_ic_mou_8,-0.20306593,0.20306593,158.34,Risk-reducing contribution,total_ic_mou_min_6_8,-0.17129324,0.17129324,158.34,Risk-reducing contribution
3552,0.9381762445910141,Very High,0.1,True,1,total_activity_8,1.9165181,1.9165181,0.0,Risk-increasing contribution,total_ic_mou_8,0.77745974,0.77745974,0.0,Risk-increasing contribution,total_ic_mou_min_6_8,0.33069333,0.33069333,0.0,Risk-increasing contribution,last_day_rch_amt_8,0.2887099,0.2887099,0.0,Risk-increasing contribution,arpu_std_6_8,0.20389745,0.20389745,655.976952229946,Risk-increasing contribution,aon,-0.05646562,0.05646562,1544.0,Risk-reducing contribution,total_activity_pct_change_7_to_8,-0.05506773,0.05506773,-0.0296725950017562,Risk-reducing contribution,roam_og_mou_7,-0.04564757,0.04564757,401.36,Risk-reducing contribution,loc_ic_t2m_mou_7,-0.036686555,0.036686555,0.0,Risk-reducing contribution,loc_og_t2f_mou_6,-0.035759203,0.035759203,32.73,Risk-reducing contribution
25861,0.0016051973597606618,Below Primary Threshold,0.1,False,0,total_og_mou_pct_change_7_to_8,0.096513875,0.096513875,13.96882827720568,Risk-increasing contribution,roam_og_mou_pct_change_7_to_8,0.062903196,0.062903196,-1.0,Risk-increasing contribution,total_rech_num_8,0.056051943,0.056051943,8.0,Risk-increasing contribution,roam_ic_mou_7,0.048792645,0.048792645,47.43,Risk-increasing contribution,arpu_std_6_8,0.040963322,0.040963322,102.3448608263041,Risk-increasing contribution,voice_rech_recency_8,-1.1372237,1.1372237,0.0,Risk-reducing contribution,total_activity_8,-0.5822875,0.5822875,695.76,Risk-reducing contribution,last_day_rch_amt_8,-0.35985214,0.35985214,30.0,Risk-reducing contribution,roam_og_mou_8,-0.35032892,0.35032892,0.0,Risk-reducing contribution,total_ic_mou_8,-0.3233468,0.3233468,157.93,Risk-reducing contribution
2562,0.0008999607889476971,Below Primary Threshold,0.1,False,0,recharge_count_min_6_8,0.059229903,0.059229903,10.0,Risk-increasing contribution,total_rech_num_8,0.05777354,0.05777354,11.0,Risk-increasing contribution,std_ic_mou_std_6_8,0.035221994,0.035221994,3.4718710933571377,Risk-increasing contribution,spl_ic_mou_8,0.030188346,0.030188346,0.0,Risk-increasing contribution,max_rech_amt_7,0.027858313,0.027858313,37.0,Risk-increasing contribution,voice_rech_recency_8,-1.0610926,1.0610926,1.0,Risk-reducing contribution,total_activity_8,-0.5592593,0.5592593,1000.77,Risk-reducing contribution,total_ic_mou_min_6_8,-0.42383358,0.42383358,562.84,Risk-reducing contribution,last_day_rch_amt_8,-0.3985684,0.3985684,37.0,Risk-reducing contribution,total_ic_mou_8,-0.34122112,0.34122112,684.09,Risk-reducing contribution
1419,0.0028824425042670554,Below Primary Threshold,0.1,False,0,total_rech_num_8,0.24679354,0.24679354,42.0,Risk-increasing contribution,loc_og_t2c_mou_8,0.061119657,0.061119657,62.36,Risk-increasing contribution,recharge_num_change_6_to_8,0.05053043,0.05053043,18.0,Risk-increasing contribution,total_og_mou_pct_change_7_to_8,0.050091367,0.050091367,0.7607786207111861,Risk-increasing contribution,std_ic_mou_std_6_8,0.042992633,0.042992633,8.126997532231005,Risk-increasing contribution,voice_rech_recency_8,-1.7042052,1.7042052,0.0,Risk-reducing contribution,total_activity_8,-0.6479421,0.6479421,2452.84,Risk-reducing contribution,roam_og_mou_8,-0.4465327,0.4465327,0.0,Risk-reducing contribution,last_day_rch_amt_8,-0.36723647,0.36723647,50.0,Risk-reducing contribution,total_ic_mou_8,-0.3603521,0.3603521,196.86,Risk-reducing contribution
7890,0.6642024083751594,Very High,0.1,True,0,total_activity_8,1.6981093,1.6981093,0.0,Risk-increasing contribution,total_ic_mou_8,0.6001069,0.6001069,0.0,Risk-increasing contribution,total_activity_pct_change_7_to_8,0.29637203,0.29637203,-1.0,Risk-increasing contribution,last_day_rch_amt_8,0.26370767,0.26370767,0.0,Risk-increasing contribution,total_ic_mou_min_6_8,0.20602794,0.20602794,0.0,Risk-increasing contribution,voice_rech_recency_8,-0.075482726,0.075482726,3.0,Risk-reducing contribution,roam_og_mou_8,-0.074467175,0.074467175,0.0,Risk-reducing contribution,max_rech_amt_7,-0.07111937,0.07111937,110.0,Risk-reducing contribution,aon,-0.061758947,0.061758947,651.0,Risk-reducing contribution,voice_rech_recency_7,-0.05905715,0.05905715,9.0,Risk-reducing contribution
35530,0.16849923631557343,High,0.1,True,0,total_activity_pct_change_7_to_8,1.0402421,1.0402421,-0.964395344637962,Risk-increasing contribution,voice_rech_recency_8,0.25843656,0.25843656,19.0,Risk-increasing contribution,last_day_rch_amt_8,0.22927976,0.22927976,0.0,Risk-increasing contribution,total_ic_mou_pct_change_7_to_8,0.18449438,0.18449438,-0.9288625416821046,Risk-increasing contribution,aon,0.12602653,0.12602653,304.0,Risk-increasing contribution,ic_others_8,-0.2826396,0.2826396,0.25,Risk-reducing contribution,roam_og_mou_8,-0.12402202,0.12402202,0.0,Risk-reducing contribution,total_rech_num_8,-0.09777717,0.09777717,1.0,Risk-reducing contribution,total_activity_8,-0.09653632,0.09653632,21.69,Risk-reducing contribution,total_voice_mou_8,-0.076223984,0.076223984,21.69,Risk-reducing contribution
44556,0.0014420861663936766,Below Primary Threshold,0.1,False,0,total_rech_num_8,0.059854195,0.059854195,10.0,Risk-increasing contribution,voice_rech_recency_7,0.03654277,0.03654277,0.0,Risk-increasing contribution,spl_ic_mou_8,0.030158697,0.030158697,0.0,Risk-increasing contribution,recharge_count_recent_vs_baseline,0.02787727,0.02787727,-2.666666666666666,Risk-increasing contribution,recharge_count_min_6_8,0.02761728,0.02761728,10.0,Risk-increasing contribution,voice_rech_recency_8,-1.0646157,1.0646157,1.0,Risk-reducing contribution,total_activity_8,-0.55984354,0.55984354,1242.78,Risk-reducing contribution,last_day_rch_amt_8,-0.36349395,0.36349395,30.0,Risk-reducing contribution,total_ic_mou_8,-0.32670584,0.32670584,172.81,Risk-reducing contribution,vol_3g_mb_8,-0.29652745,0.29652745,1007.98,Risk-reducing contribution
40306,0.005411242107302877,Below Primary Threshold,0.1,False,0,last_day_rch_amt_8,0.21900181,0.21900181,0.0,Risk-increasing contribution,voice_rech_recency_8,0.11253899,0.11253899,23.0,Risk-increasing contribution,spl_ic_mou_8,0.043763738,0.043763738,0.0,Risk-increasing contribution,max_rech_amt_7,0.04276036,0.04276036,0.0,Risk-increasing contribution,loc_ic_t2f_mou_7,0.042079087,0.042079087,36.33,Risk-increasing contribution,total_activity_8,-0.478881,0.478881,193.57,Risk-reducing contribution,total_ic_mou_min_6_8,-0.32516727,0.32516727,52.53,Risk-reducing contribution,total_ic_mou_8,-0.31672552,0.31672552,121.13,Risk-reducing contribution,aon,-0.29342738,0.29342738,1908.0,Risk-reducing contribution,total_activity_pct_change_7_to_8,-0.25759315,0.25759315,0.8363532871644056,Risk-reducing contribution
