rank,feature,mean_abs_shap
1,total_activity_8,0.5971636
2,voice_rech_recency_8,0.44997326
3,last_day_rch_amt_8,0.36966598
4,total_ic_mou_8,0.31464413
5,roam_og_mou_8,0.2679664
6,total_activity_pct_change_7_to_8,0.2579615
7,total_ic_mou_min_6_8,0.25753063
8,spl_ic_mou_8,0.14317527
9,aon,0.13978715
10,total_voice_mou_8,0.10224879
11,roam_ic_mou_8,0.09414519
12,arpu_std_6_8,0.07134846
13,loc_ic_t2m_mou_8,0.059729576
14,std_ic_t2f_mou_8,0.058483496
15,total_rech_num_8,0.058126874
16,max_rech_amt_7,0.05399228
17,max_rech_amt_8,0.05196527
18,loc_ic_mou_change_6_to_8,0.051106304
19,std_ic_mou_std_6_8,0.045581624
20,vol_3g_mb_8,0.043618068
21,roam_og_mou_change_6_to_8,0.04243762
22,ic_others_8,0.04206114
23,total_ic_mou_pct_change_7_to_8,0.041348305
24,isd_ic_mou_8,0.0404912
25,loc_ic_mou_8,0.039834186
26,loc_ic_t2f_mou_6,0.03874812
27,recharge_count_std_6_8,0.03629331
28,roam_og_mou_7,0.03541461
29,recharge_count_min_6_8,0.03381808
30,total_activity_6,0.033670433
31,arpu_avg_6_8,0.031613924
32,loc_og_t2f_mou_8,0.031564377
33,vol_2g_mb_8,0.029380994
34,loc_og_mou_8,0.028283393
35,total_og_mou_pct_change_7_to_8,0.02716445
36,spl_og_mou_7,0.02695683
37,loc_og_t2f_mou_6,0.02643359
38,total_activity_change_7_to_8,0.026322912
39,voice_rech_recency_7,0.025756665
40,loc_ic_t2f_mou_8,0.02520683
41,arpu_min_6_8,0.0251789
42,total_ic_mou_change_6_to_8,0.023494182
43,std_ic_mou_pct_change_7_to_8,0.02322253
44,std_og_mou_8,0.022894662
45,arpu_8,0.022886693
46,std_ic_t2f_mou_6,0.022816433
47,total_rech_num_7,0.022233356
48,onnet_mou_8,0.021453448
49,loc_ic_mou_change_7_to_8,0.021219604
50,recharge_value_per_transaction_8,0.020966163
51,loc_og_t2m_mou_8,0.020508775
52,std_og_mou_change_7_to_8,0.019847436
53,total_activity_pct_change_6_to_8,0.01961686
54,recharge_num_change_6_to_8,0.018496523
55,loc_ic_mou_pct_change_7_to_8,0.018386364
56,loc_ic_mou_min_6_8,0.018250003
57,total_og_mou_std_6_8,0.018052518
58,std_ic_mou_change_7_to_8,0.017739942
59,std_ic_mou_change_6_to_8,0.017733924
60,std_og_t2t_mou_8,0.017534066
61,loc_og_mou_pct_change_6_to_8,0.017490923
62,recharge_amount_std_6_8,0.01747121
63,std_og_t2m_mou_6,0.016812699
64,total_ic_mou_pct_change_6_to_8,0.016691525
65,voice_rech_recency_8_high_flag,0.016376982
66,loc_og_t2t_mou_8,0.016043626
67,total_ic_mou_change_7_to_8,0.016007721
68,loc_og_mou_min_6_8,0.01570166
69,offnet_mou_8,0.015669523
70,total_voice_mou_6,0.015659867
71,total_voice_mou_7,0.015638772
72,total_activity_7,0.015588443
73,arpu_recent_vs_baseline,0.015427305
74,arpu_change_7_to_8,0.015311258
75,std_ic_t2t_mou_8,0.015094899
76,loc_ic_t2t_mou_8,0.015018616
77,total_ic_mou_7,0.013881667
78,loc_og_t2f_mou_7,0.013810612
79,roam_og_mou_std_6_8,0.013809221
80,arpu_change_6_to_8,0.013547692
81,total_activity_change_6_to_8,0.013382348
82,loc_ic_t2f_mou_7,0.013148843
83,std_og_mou_6,0.013019136
84,loc_ic_mou_std_6_8,0.012951836
85,recharge_num_pct_change_6_to_8,0.012867667
86,roam_ic_mou_change_6_to_8,0.0127135
87,loc_og_mou_change_6_to_8,0.012540598
88,recharge_amt_pct_change_7_to_8,0.012523454
89,loc_og_mou_change_7_to_8,0.012416264
90,std_ic_mou_pct_change_6_to_8,0.012409504
91,vol_2g_mb_pct_change_6_to_8,0.012369215
92,total_og_mou_8,0.012299206
93,total_og_mou_7,0.012203946
94,arpu_pct_change_7_to_8,0.011847819
95,total_og_mou_pct_change_6_to_8,0.011785533
96,recharge_count_recent_vs_baseline_pct,0.011744238
97,last_day_rch_amt_7,0.011609359
98,loc_og_t2m_mou_7,0.011534374
99,loc_ic_t2t_mou_7,0.011488478
100,loc_og_mou_pct_change_7_to_8,0.011392991
101,loc_og_t2c_mou_8,0.011236146
102,loc_ic_t2m_mou_7,0.011192796
103,roam_ic_mou_std_6_8,0.01111595
104,total_og_mou_change_7_to_8,0.011108632
105,std_og_mou_pct_change_6_to_8,0.010347942
106,total_og_mou_change_6_to_8,0.010284214
107,total_rech_data_8,0.010279682
108,total_rech_amt_8,0.009884236
109,loc_ic_t2t_mou_6,0.0098674
110,loc_ic_t2m_mou_6,0.009487616
111,total_ic_mou_max_6_8,0.009464344
112,recharge_amt_change_7_to_8,0.009304768
113,spl_og_mou_8,0.009237773
114,std_og_t2m_mou_8,0.009094336
115,recharge_amt_pct_change_6_to_8,0.0089498265
116,std_og_t2t_mou_6,0.008512875
117,loc_og_mou_max_6_8,0.008400172
118,loc_ic_mou_pct_change_6_to_8,0.008356569
119,total_rech_amt_7,0.008131696
120,loc_ic_mou_7,0.0081276065
121,roam_og_mou_min_6_8,0.008097368
122,std_ic_mou_min_6_8,0.008090984
123,av_rech_amt_data_std_6_8,0.0076198652
124,loc_og_t2t_mou_6,0.0075831003
125,recharge_amt_change_6_to_8,0.00757724
126,loc_og_t2m_mou_6,0.0075487504
127,std_ic_t2m_mou_8,0.007440605
128,loc_og_mou_7,0.0073726913
129,total_og_mou_min_6_8,0.007368476
130,roam_ic_mou_pct_change_7_to_8,0.007362409
131,voice_inactive_8,0.007298654
132,roam_ic_mou_7,0.007131778
133,arpu_pct_change_6_to_8,0.007078357
134,loc_og_mou_std_6_8,0.0070013776
135,std_ic_t2f_mou_7,0.0068374565
136,total_ic_mou_6,0.0067857527
137,recharge_amount_min_6_8,0.0067044287
138,arpu_7,0.0066199577
139,recharge_amount_recent_vs_baseline,0.006523479
140,offnet_mou_7,0.006444142
141,loc_ic_mou_6,0.006403247
142,recharge_amount_recent_vs_baseline_pct,0.0063533997
143,loc_ic_mou_max_6_8,0.006210624
144,recharge_count_trend_score,0.0061519234
145,loc_og_t2t_mou_7,0.0060967696
146,std_og_mou_change_6_to_8,0.006070859
147,aug_vbc_3g,0.006006316
148,roam_og_mou_pct_change_7_to_8,0.005828793
149,arpu_recent_vs_baseline_pct,0.0055169147
150,std_og_mou_pct_change_7_to_8,0.0054425234
151,std_ic_mou_8,0.0052952277
152,loc_og_mou_6,0.0049964073
153,recharge_count_recent_vs_baseline,0.0043840166
154,vol_2g_mb_change_6_to_8,0.004180944
155,sachet_2g_8,0.0040729116
156,roam_og_mou_6,0.0039435523
157,arpu_trend_score,0.0026401388
158,recharge_amount_trend_score,0.002511007
159,total_activity_trend_score,0.0023756237
160,roam_ic_mou_min_6_8,0.0023057081
161,behavioral_decline_count,0.0021755837
162,vol_2g_mb_min_6_8,0.002104071
163,total_rech_data_8_missing,0.0014872074
164,voice_inactive_6,0.00083371974
165,spl_og_mou_8_missing,3.4622928e-05
166,voice_inactive_7,0.0
167,no_recharge_amt_7,0.0
168,no_recharge_amt_8,0.0
169,no_recharge_count_8,0.0
