rank,feature,mean_abs_shap,mean_shap,positive_shap_pct_nonzero,negative_shap_pct_nonzero,zero_shap_pct,direction_consistency_pct,direction_consistency_label,mean_feature_value,median_feature_value,overall_direction
1,total_activity_8,0.5971627831459045,-0.28649988770484924,10.489999999999998,89.51,0.0,89.51,Strongly consistent,682.317815,412.95000000000005,Negative average contribution
2,voice_rech_recency_8,0.4499737322330475,-0.249856635928154,50.980000000000004,49.02,0.0,50.980000000000004,Mixed,5.4675,4.0,Negative average contribution
3,last_day_rch_amt_8,0.3696657121181488,-0.15451516211032867,34.65,65.35,0.0,65.35,Moderately consistent,60.6724,30.0,Negative average contribution
4,total_ic_mou_8,0.31464412808418274,-0.1767873913049698,12.120000000000001,87.88,0.0,87.88,Strongly consistent,196.68391699999998,113.425,Negative average contribution
5,roam_og_mou_8,0.2679661512374878,-0.12128349393606186,13.91,86.09,0.0,86.09,Strongly consistent,9.443675,0.0,Negative average contribution
6,total_activity_pct_change_7_to_8,0.2579612731933594,-0.04101553186774254,22.13,77.86999999999999,0.0,77.86999999999999,Strongly consistent,5.0782570217203435,-0.0296725950017562,Negative average contribution
7,total_ic_mou_min_6_8,0.25753095746040344,-0.13261093199253082,27.089999999999996,72.91,0.0,72.91,Moderately consistent,130.889608,67.735,Negative average contribution
8,spl_ic_mou_8,0.14317567646503448,-0.07112447172403336,88.08,11.92,0.0,88.08,Strongly consistent,0.037939,0.0,Negative average contribution
9,aon,0.13978713750839233,-0.04850649833679199,31.840000000000003,68.16,0.0,68.16,Moderately consistent,1222.9923,861.0,Negative average contribution
10,total_voice_mou_8,0.1022486463189125,-0.07887505739927292,9.39,90.61,0.0,90.61,Strongly consistent,503.936916,309.94,Negative average contribution
11,roam_ic_mou_8,0.09414523839950562,-0.037704240530729294,14.17,85.83,0.0,85.83,Strongly consistent,6.0656,0.0,Negative average contribution
12,arpu_std_6_8,0.07134833931922913,-0.025312649086117744,34.0,66.0,0.0,66.0,Moderately consistent,94.11618508245378,63.339920127595605,Negative average contribution
13,loc_ic_t2m_mou_8,0.059729620814323425,-0.039763323962688446,34.63,65.36999999999999,0.0,65.36999999999999,Moderately consistent,104.44311300000001,58.135000000000005,Negative average contribution
14,std_ic_t2f_mou_8,0.05848351866006851,-0.031798262149095535,79.88,20.119999999999997,0.0,79.88,Strongly consistent,2.1030029999999997,0.0,Negative average contribution
15,total_rech_num_8,0.058126844465732574,0.026521777734160423,56.010000000000005,43.99,0.0,56.010000000000005,Mixed,7.226,5.0,Positive average contribution
16,max_rech_amt_7,0.05399225279688835,-0.011021945625543594,48.0,52.0,0.0,52.0,Mixed,103.712,110.0,Negative average contribution
17,max_rech_amt_8,0.05196511745452881,-0.01711644046008587,54.76,45.24,0.0,54.76,Mixed,105.1437,86.0,Negative average contribution
18,loc_ic_mou_change_6_to_8,0.05110620707273483,-0.03127720579504967,25.080000000000002,74.92,0.0,74.92,Moderately consistent,-1.8863850000000013,0.2849999999999966,Negative average contribution
19,std_ic_mou_std_6_8,0.0455816425383091,0.003712564008310437,61.44,38.56,0.0,61.44,Moderately consistent,15.954981999023145,5.04109996815069,Positive average contribution
20,vol_3g_mb_8,0.04361811652779579,-0.01542184129357338,84.91,15.09,0.0,84.91,Strongly consistent,131.652298,0.0,Negative average contribution
21,roam_og_mou_change_6_to_8,0.042437586933374405,-0.022227371111512184,11.459999999999999,88.53999999999999,0.0,88.53999999999999,Strongly consistent,-3.3618770000000002,0.0,Negative average contribution
22,ic_others_8,0.04206114262342453,-0.018436968326568604,77.23,22.770000000000003,0.0,77.23,Strongly consistent,0.8377040000000001,0.0,Negative average contribution
23,total_ic_mou_pct_change_7_to_8,0.04134838283061981,-0.021890906617045403,19.919999999999998,80.08,0.0,80.08,Strongly consistent,0.9741124100294952,-0.0375458633341609,Negative average contribution
24,isd_ic_mou_8,0.040491167455911636,0.004672387149184942,11.18,88.82,0.0,88.82,Strongly consistent,6.870472,0.0,Positive average contribution
25,loc_ic_mou_8,0.039834216237068176,-0.022698557004332542,36.77,63.23,0.0,63.23,Moderately consistent,161.119618,93.72,Negative average contribution
26,loc_ic_t2f_mou_6,0.038748107850551605,-0.014243933372199535,50.18,49.82,0.0,50.18,Mixed,11.464653,0.88,Negative average contribution
27,recharge_count_std_6_8,0.036293309181928635,-0.0037694182246923447,32.05,67.95,0.0,67.95,Moderately consistent,2.4580137264350364,1.699673171197595,Negative average contribution
28,roam_og_mou_7,0.0354146771132946,0.014751940965652466,86.36,13.639999999999999,0.0,86.36,Strongly consistent,9.990413,0.0,Positive average contribution
29,recharge_count_min_6_8,0.033818092197179794,0.007458107080310583,50.28,49.72,0.0,50.28,Mixed,4.7097,3.0,Positive average contribution
30,total_activity_6,0.0336703360080719,-0.012962056323885918,8.41,91.59,0.0,91.59,Strongly consistent,679.458083,415.96000000000004,Negative average contribution
31,arpu_avg_6_8,0.03161393105983734,0.0033881973940879107,50.71,49.29,0.0,50.71,Mixed,277.2314067,196.71316666666667,Positive average contribution
32,loc_og_t2f_mou_8,0.031564392149448395,-0.020894130691885948,51.470000000000006,48.53,0.0,51.470000000000006,Mixed,3.4896190000000002,0.0,Negative average contribution
33,vol_2g_mb_8,0.029381079599261284,-0.008824008516967297,78.86999999999999,21.13,0.0,78.86999999999999,Strongly consistent,46.728601,0.0,Negative average contribution
34,loc_og_mou_8,0.028283385559916496,-0.012729058973491192,53.16,46.839999999999996,0.0,53.16,Mixed,134.756427,63.41,Negative average contribution
35,total_og_mou_pct_change_7_to_8,0.027164410799741745,0.018233096227049828,81.76,18.240000000000002,0.0,81.76,Strongly consistent,4.121495783390464,-0.0489124079055081,Positive average contribution
36,spl_og_mou_7,0.026956865563988686,-0.0010153459152206779,41.91,58.089999999999996,0.0,58.089999999999996,Mixed,4.992442,0.0,Negative average contribution
37,loc_og_t2f_mou_6,0.026433495804667473,-0.009512346237897873,61.62,38.379999999999995,0.0,61.62,Moderately consistent,3.7336699999999996,0.0,Negative average contribution
38,total_activity_change_7_to_8,0.026322897523641586,-0.012726068496704102,26.72,73.28,0.0,73.28,Moderately consistent,-10.151464,0.0,Negative average contribution
39,voice_rech_recency_7,0.025756677612662315,0.0013773755636066198,54.92,45.08,0.0,54.92,Mixed,5.5886,4.0,Positive average contribution
40,loc_ic_t2f_mou_8,0.025206787511706352,-0.012740833684802055,42.0,57.99999999999999,0.0,57.99999999999999,Mixed,10.900443,0.91,Negative average contribution
41,arpu_min_6_8,0.025178855285048485,-0.012553294189274311,16.009999999999998,83.99,0.0,83.99,Strongly consistent,174.0469566,105.79849999999999,Negative average contribution
42,total_ic_mou_change_6_to_8,0.0234941765666008,-0.006456336937844753,22.63,77.37,0.0,77.37,Strongly consistent,-3.2451090000000007,0.0,Negative average contribution
43,std_ic_mou_pct_change_7_to_8,0.02322254702448845,-0.0084963608533144,25.89,74.11,0.0,74.11,Moderately consistent,1.9526307125846092,-0.2321986318923232,Negative average contribution
44,std_og_mou_8,0.022894684225320816,-0.006963942665606737,32.32,67.67999999999999,0.0,67.67999999999999,Moderately consistent,171.119783,10.41,Negative average contribution
45,arpu_8,0.02288670837879181,0.005256871692836285,46.98,53.02,0.0,53.02,Mixed,276.6624936,190.418,Positive average contribution
46,std_ic_t2f_mou_6,0.022816458716988564,0.004624641500413418,18.57,81.43,0.0,81.43,Strongly consistent,1.972258,0.0,Positive average contribution
