row_index,id,churn_probability
52140,19628,0
42489,31312,0
24526,3552,1
13713,25861,0
49565,2562,0
52215,1419,0
23037,7890,0
43605,35530,0
49362,44556,0
14644,40306,0
31744,712,0
14402,1764,0
22642,24700,0
10577,26932,1
53182,55513,0
12315,44340,0
3564,14998,0
32374,4541,0
4155,40700,0
19626,66070,0
21772,20906,0
8006,5739,0
35239,14444,0
20920,23494,0
50315,5982,0
26311,10076,0
19983,44144,0
3953,32005,0
43948,22578,0
53087,29279,0
30814,54106,0
10016,57580,0
50304,32843,0
55062,30271,1
39833,31429,0
17122,16218,0
33449,60732,0
34122,24784,0
51675,66907,0
17074,66849,0
454,15278,1
21176,51466,0
24414,11396,0
45645,8044,0
26920,17908,0
3184,22015,0
18592,10948,0
35215,5958,1
37510,32969,0
36240,56220,0
20290,38790,0
50097,57694,0
54291,59029,0
28824,44528,0
47748,48291,0
22281,21745,0
10413,4173,0
32518,2327,0
51968,6497,0
36721,41515,0
36402,324,0
54548,50026,0
42311,65537,0
40176,52700,0
9572,34324,0
8613,20079,0
5876,39849,1
1219,27509,0
55355,48379,0
7289,50597,0
4053,57973,0
7671,60051,0
2778,68319,0
27317,39639,0
6425,11281,1
12082,28949,0
5115,23584,0
23356,2845,0
32960,410,0
38222,43757,0
26362,52090,1
26513,49855,0
51398,42787,0
1641,3875,1
34374,45318,0
44647,11380,0
43058,39232,0
27797,67239,0
40728,51709,0
16356,26335,0
36505,3965,0
1632,15881,0
28974,34789,0
35041,38348,0
36170,34197,0
41120,2624,0
22839,60163,0
21358,44651,0
42494,22469,0
46234,23816,0
15497,26720,0
52165,62067,0
15587,25918,0
19243,16453,0
7822,26852,0
34652,51259,0
8517,7768,0
36316,56960,0
38983,59624,0
35649,34293,0
52391,49201,0
19834,27637,0
36152,27770,0
32459,29121,0
31637,2432,0
12114,20799,0
2851,34819,0
24415,48958,0
35225,32400,0
9908,46474,0
17132,3555,0
39392,4671,0
51692,14018,0
23967,69312,0
4829,45685,0
428,53448,0
35598,1567,0
48184,9979,0
36255,6670,0
38820,25341,0
22446,1375,0
44836,34352,0
38036,5947,0
8966,19706,0
37514,3269,0
11710,49036,0
26653,48866,1
49490,43278,0
5567,31596,0
18969,28883,1
8740,9459,0
20415,35213,0
38545,44937,0
39959,16950,1
40871,461,0
54462,4909,0
13539,44023,0
40623,19190,0
54813,43228,1
35689,52694,0
5770,48184,0
40657,4692,0
16159,38009,0
35213,43959,0
30555,57684,1
51119,66093,0
10849,14131,0
44917,67021,0
18623,48739,0
15936,49160,0
44059,19150,0
40489,67347,0
2885,7692,0
10593,8942,0
55117,22687,0
19006,14901,0
31726,19140,1
44269,30818,0
10009,44453,0
37745,52787,0
8296,66995,0
20508,6807,0
37827,67452,0
25408,30357,0
44661,51398,0
5771,8475,0
54844,21557,0
4805,37990,0
1390,48221,0
52243,22903,0
55264,9118,0
5395,69235,0
1221,33,1
39459,4854,0
48424,21656,0
9632,4022,0
15217,23890,0
9258,10452,0
20717,39348,0
2893,66745,0
18154,41756,0
48495,25716,0
20518,35618,0
44808,55056,0
11376,64974,0
12451,20578,0
6036,67951,0
46368,65247,0
22855,24521,0
55541,36140,0
9613,20528,0
30516,11657,0
25137,47139,0
6707,46458,0
33379,22656,0
23240,21705,0
42419,17428,0
729,18039,0
22278,55621,0
52600,66307,0
431,9462,0
41908,50696,0
5549,16225,0
35520,44840,0
33319,54537,1
29959,22491,0
5747,27670,0
46872,24195,0
47781,39329,0
50239,710,0
38250,69021,0
15393,51703,0
31456,43016,0
22379,39945,0
48122,58894,0
42132,34467,0
46171,6806,0
7638,9470,0
13883,49204,0
34363,63960,0
24711,3476,1
8557,11161,0
6373,46112,0
20076,61730,1
40261,57897,0
48143,37254,0
1621,49525,0
50329,12107,0
42854,12051,0
11359,45338,0
28701,54348,0
43846,65149,0
51056,29142,0
5034,19346,0
42734,44451,0
3394,22218,0
9738,52747,0
9284,69857,0
23847,1535,0
22681,51128,0
22019,26676,0
26429,14676,0
50796,29208,0
24804,37631,0
42804,44377,0
48915,52481,0
4032,18829,0
1126,44499,0
212,15865,0
53236,1276,0
37278,59976,0
22536,17563,0
16045,14258,0
42203,46224,0
23180,33511,0
10981,122,0
1792,7437,0
34462,45964,0
19155,57316,0
8858,12268,0
36846,67559,0
644,43427,1
22718,22248,0
31537,2393,0
16695,10671,0
18974,58911,0
35253,17414,0
37140,61558,0
23678,15257,0
27627,23046,0
54731,35391,0
14320,34783,0
21496,49841,0
27815,66375,0
15617,8786,0
20260,27567,0
3751,42504,0
52973,29263,0
6095,53554,0
54605,59339,0
42339,23286,0
7650,43848,0
52117,5286,0
27590,17522,0
46464,22050,0
27036,21660,0
40596,29085,0
38068,68677,0
47092,36846,0
1901,1460,1
12387,59964,0
52843,32801,0
16382,59622,1
28046,35411,0
50197,1982,0
26402,12317,0
39446,6372,0
55165,58027,0
39379,64891,0
45461,47296,0
10824,11992,0
20401,49354,1
51418,16089,0
20391,30174,0
6199,34353,0
7615,35337,0
48058,55514,0
4657,10468,0
15520,23200,0
51624,40618,0
24979,39761,0
41391,51174,0
16426,67352,0
13203,26315,0
24528,46434,0
7621,54462,0
31678,12676,0
25023,55276,0
49906,56317,0
16539,49704,0
29871,29998,0
36758,55342,0
41264,10876,0
43835,28611,0
5841,63916,0
36647,62160,1
110,21907,0
41086,7186,0
34829,14931,0
15355,4686,0
24939,50616,1
16870,18556,0
43885,21631,0
4092,16070,0
4524,66697,0
26023,38752,0
55274,26292,1
10552,58323,0
9189,18941,0
19140,481,1
12475,19313,0
18684,40703,0
1005,16890,0
47275,5007,0
54091,18810,0
41043,36277,0
17609,42784,0
14067,5255,0
38312,46241,0
21379,8080,0
10045,60599,1
14131,54274,0
7708,33779,0
13700,61006,0
8971,46944,0
28361,25062,0
7706,14535,1
48437,18830,0
8690,16721,0
43998,41642,1
18701,40943,0
38212,1860,0
26891,56319,0
38954,57094,0
1661,26604,0
14303,63494,0
12261,30313,0
22815,5113,0
5070,61264,0
36853,34144,0
15614,53238,0
22346,7996,0
17080,51318,0
15269,26559,0
2574,23987,0
52071,31364,0
1097,67499,1
34797,35538,0
9452,7725,0
6072,63676,0
13645,51183,0
24590,5139,0
31659,35229,0
50521,60022,0
40430,59726,1
14449,56381,0
8404,64314,0
43364,36901,0
11771,38023,0
1410,47119,0
53815,23344,1
43308,68155,0
53188,19236,0
51361,41957,0
14321,32854,0
52626,14091,0
47487,63636,0
25749,11523,1
6526,52480,0
45977,43145,0
12050,65591,0
23673,67541,1
30902,62311,0
30208,40383,0
33981,8062,0
42090,41129,0
52051,30159,0
2182,63823,0
41510,8529,1
18795,12393,0
16694,21486,0
44773,46635,0
26833,34094,0
23654,67256,0
51600,46861,1
51064,13308,0
48083,60238,1
3502,624,0
43951,42502,0
29934,69916,0
41541,10370,0
10393,17860,0
1039,47535,0
12483,6075,0
45010,27282,0
28705,59063,0
10880,23208,0
3519,68263,1
10369,31386,0
20603,61994,0
49485,56502,0
