explanation_rank,id,churn_probability,risk_level,primary_threshold,above_primary_threshold,actual_churn,top_positive_drivers,top_negative_drivers,explanation_scope,interpretation_note
1,20255,0.989638,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8938; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9669; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.9527; value 24.3333; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4415; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3918; value 0.0000; Risk-increasing contribution),1. roam_og_mou_8 (SHAP -0.0514; value 0.0000; Risk-reducing contribution) | 2. total_activity_pct_change_7_to_8 (SHAP -0.0465; value -0.0297; Risk-reducing contribution) | 3. arpu_std_6_8 (SHAP -0.0422; value 34.4125; Risk-reducing contribution) | 4. roam_ic_mou_8 (SHAP -0.0232; value 0.0000; Risk-reducing contribution) | 5. recharge_count_std_6_8 (SHAP -0.0194; value 0.4714; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
2,31150,0.989638,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8938; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9669; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.9524; value 34.3000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4414; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.4022; value 0.0000; Risk-increasing contribution),1. roam_og_mou_8 (SHAP -0.0514; value 0.0000; Risk-reducing contribution) | 2. total_activity_pct_change_7_to_8 (SHAP -0.0468; value -0.0297; Risk-reducing contribution) | 3. arpu_std_6_8 (SHAP -0.0349; value 48.5075; Risk-reducing contribution) | 4. roam_ic_mou_8 (SHAP -0.0236; value 0.0000; Risk-reducing contribution) | 5. recharge_count_std_6_8 (SHAP -0.0194; value 0.4714; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
3,53270,0.989609,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8965; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9689; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.9527; value 23.2537; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4408; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3918; value 0.0000; Risk-increasing contribution),1. roam_og_mou_8 (SHAP -0.0518; value 0.0000; Risk-reducing contribution) | 2. total_activity_pct_change_7_to_8 (SHAP -0.0438; value -0.0297; Risk-reducing contribution) | 3. arpu_std_6_8 (SHAP -0.0422; value 32.8857; Risk-reducing contribution) | 4. roam_ic_mou_8 (SHAP -0.0228; value 0.0000; Risk-reducing contribution) | 5. recharge_count_std_6_8 (SHAP -0.0190; value 0.4714; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
4,67409,0.989504,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8955; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9714; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.9522; value 26.6667; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4382; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3918; value 0.0000; Risk-increasing contribution),1. roam_og_mou_8 (SHAP -0.0525; value 0.0000; Risk-reducing contribution) | 2. total_activity_pct_change_7_to_8 (SHAP -0.0445; value -0.0297; Risk-reducing contribution) | 3. arpu_std_6_8 (SHAP -0.0392; value 37.7124; Risk-reducing contribution) | 4. recharge_count_std_6_8 (SHAP -0.0377; value 0.9428; Risk-reducing contribution) | 5. roam_ic_mou_8 (SHAP -0.0235; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
5,11560,0.989337,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8938; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9673; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.9527; value 20.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4409; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3918; value 0.0000; Risk-increasing contribution),1. arpu_std_6_8 (SHAP -0.0588; value 28.2843; Risk-reducing contribution) | 2. roam_og_mou_8 (SHAP -0.0477; value 0.0000; Risk-reducing contribution) | 3. total_activity_pct_change_7_to_8 (SHAP -0.0449; value -0.0297; Risk-reducing contribution) | 4. roam_ic_mou_8 (SHAP -0.0232; value 0.0000; Risk-reducing contribution) | 5. recharge_count_std_6_8 (SHAP -0.0194; value 0.4714; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
6,44252,0.989304,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8991; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9692; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.9546; value 34.0643; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4445; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.4026; value 0.0000; Risk-increasing contribution),1. roam_og_mou_8 (SHAP -0.0507; value 0.0000; Risk-reducing contribution) | 2. total_activity_pct_change_7_to_8 (SHAP -0.0442; value -0.0297; Risk-reducing contribution) | 3. arpu_std_6_8 (SHAP -0.0368; value 48.1742; Risk-reducing contribution) | 4. recharge_count_std_6_8 (SHAP -0.0238; value 2.3570; Risk-reducing contribution) | 5. roam_ic_mou_8 (SHAP -0.0229; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
7,68937,0.98885,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.9048; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9707; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.9003; value 35.3333; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4542; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.4127; value 0.0000; Risk-increasing contribution),1. aon (SHAP -0.1369; value 2610.0000; Risk-reducing contribution) | 2. roam_og_mou_8 (SHAP -0.0435; value 0.0000; Risk-reducing contribution) | 3. arpu_std_6_8 (SHAP -0.0406; value 49.9689; Risk-reducing contribution) | 4. total_activity_pct_change_7_to_8 (SHAP -0.0393; value -0.0297; Risk-reducing contribution) | 5. roam_ic_mou_8 (SHAP -0.0232; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
8,61775,0.988741,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8958; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9718; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.8996; value 17.6400; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4519; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.4023; value 0.0000; Risk-increasing contribution),1. aon (SHAP -0.1088; value 2008.0000; Risk-reducing contribution) | 2. arpu_std_6_8 (SHAP -0.0685; value 24.9467; Risk-reducing contribution) | 3. roam_og_mou_8 (SHAP -0.0410; value 0.0000; Risk-reducing contribution) | 4. total_activity_pct_change_7_to_8 (SHAP -0.0393; value -0.0297; Risk-reducing contribution) | 5. recharge_count_std_6_8 (SHAP -0.0350; value 0.4714; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
9,3103,0.988717,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.9021; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9512; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.9337; value 20.0000; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4524; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.4135; value 0.0000; Risk-increasing contribution),1. aug_vbc_3g (SHAP -0.0914; value 863.3700; Risk-reducing contribution) | 2. arpu_std_6_8 (SHAP -0.0621; value 28.2843; Risk-reducing contribution) | 3. roam_og_mou_8 (SHAP -0.0425; value 0.0000; Risk-reducing contribution) | 4. total_activity_pct_change_7_to_8 (SHAP -0.0419; value -0.0297; Risk-reducing contribution) | 5. aon (SHAP -0.0405; value 1230.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
10,35207,0.988675,Very High,0.1,True,1,1. total_activity_8 (SHAP +1.8855; value 0.0000; Risk-increasing contribution) | 2. total_ic_mou_8 (SHAP +0.9671; value 0.0000; Risk-increasing contribution) | 3. arpu_avg_6_8 (SHAP +0.9596; value 14.1633; Risk-increasing contribution) | 4. total_ic_mou_min_6_8 (SHAP +0.4395; value 0.0000; Risk-increasing contribution) | 5. total_rech_num_7 (SHAP +0.3516; value 0.0000; Risk-increasing contribution),1. arpu_std_6_8 (SHAP -0.0609; value 20.0300; Risk-reducing contribution) | 2. total_activity_pct_change_7_to_8 (SHAP -0.0486; value -0.0297; Risk-reducing contribution) | 3. roam_og_mou_8 (SHAP -0.0483; value 0.0000; Risk-reducing contribution) | 4. recharge_count_std_6_8 (SHAP -0.0362; value 0.4714; Risk-reducing contribution) | 5. roam_ic_mou_8 (SHAP -0.0241; value 0.0000; Risk-reducing contribution),Top-risk explanation sample — not full-universe ranking,"Positive SHAP drivers indicate model contributions toward higher churn risk; negative SHAP drivers indicate model contributions toward lower churn risk. SHAP contributions are model explanations, not causal claims."
